text,label,language,category
Sanarwa: asusunka na Zenith Bank ya shiga matsala saboda BVN ba a sabunta ba. Danna nan http://uba-update-service.xyz don gyarawa ko a rufe asusunka na dindindin.,1,Hausa,Phishing
Omo your Zenith Bank account don enter hold balance because of BVN linkage. Make you click dis link http://opay-bvn-ng.xyz right now make dem no chop your money.,1,Pidgin,Phishing
"Congratulations! Your mobile number has won NGN 500,000 in the CBN 2024 Empowerment Promo. Send your BVN and account details to claim your cash.",1,English,Fake Alert / Lottery
"I zuru ohi! I gbaziri ego na SpeedCash weghachighị ya. Ọ bụrụ na ị kwụghị ụgwọ tupu elekere atọ, anyị ga-egosi ndị ezi-na-ụlọ gị na ị bụ onye ohi.",1,Igbo,Loan Shark Threat
Iro ni won pa! Iwe iroyin lati EFCC wipe a ti block account re ni Zenith Bank. Pe nọmba yii 08031234567 lati ṣii bayi ki owo re ma baa sọnu.,1,Yoruba,Phishing
Ego a zitere gị site na GTBank agafeela nke ọma. Ndeewo maka ịzụ ahịa. Anyị ga-ahụ ma emechaa.,0,Igbo,Genuine Banking
Kada ka taba bayyana lambar sirri (OTP ko PIN) ga kowa. Bankinka ba zai taba tambayarka wannan ba. Ka kiyaye daga damfara.,0,Hausa,Customer Support
"Dear Customer, your transfer of NGN 25,000.00 to account 012***4859 was successful. Thank you for choosing Zenith Bank.",0,English,Genuine Banking
"Naira dubu ashirin (NGN 20,000) ta shigo asusuna na Stanbic IBTC. Mun gode sosai, Allah ya mayar da alheri.",0,Hausa,Genuine Banking
"Owo ti o firanṣẹ si akọọlẹ mi ti wọle o. Mo ti ri alert NGN 30,000 ni Stanbic IBTC.",0,Yoruba,Genuine Banking
URGENT: Your UBA ATM card has been blocked. Please call customer care on 08012345678 or visit http://accessbank-update.info to unblock.,1,English,Phishing
"We will never ask you for your PIN, OTP, or full ATM card number. Protect your banking credentials at all times. - Opay Security",0,English,Customer Support
Congrats my friend! You don win 200k from Zenith Bank anniversary promo. Just send your OTP make we credit your wallet straight up.,1,Pidgin,Fake Alert / Lottery
Abeg I don send the urgent 2k to your Access Bank account. Make you check am now now before network start to misbehave.,0,Pidgin,Genuine Banking
Sanarwa: asusunka na First Bank ya shiga matsala saboda BVN ba a sabunta ba. Danna nan http://uba-update-service.xyz don gyarawa ko a rufe asusunka na dindindin.,1,Hausa,Phishing
"Dear Customer, your transfer of NGN 25,000.00 to account 012***4859 was successful. Thank you for choosing Access Bank.",0,English,Genuine Banking
Bros the alert don drop! 50k clear money inside my Access Bank account. God bless you plenty bro.,0,Pidgin,Genuine Banking
"An tura kudi NGN 50,000 zuwa asusunka na Jaiz Bank cikin nasara. Nagode da kasuwanci, Allah ya kara budi.",0,Hausa,Genuine Banking
"Dear Customer, your transfer of NGN 25,000.00 to account 012***4859 was successful. Thank you for choosing FCMB.",0,English,Genuine Banking
No fall for scam o! Bank no go ever call you make you call out your OTP or ATM PIN. Open your eye my people.,0,Pidgin,Customer Support
Iro ni won pa! Iwe iroyin lati EFCC wipe a ti block account re ni Opay. Pe nọmba yii 08031234567 lati ṣii bayi ki owo re ma baa sọnu.,1,Yoruba,Phishing
"Ndeewo, akaunti gị na Wema Bank enweela nsogbu n'ihi BVN agwụla. Pịa ebe a http://zenith-bvn-update.com ka ịmezie ya ngwa ngwa ma ọ bụ ha eji ego gị.",1,Igbo,Phishing
"Kai barawo ne! Ka ci bashin NGN 20,000 a XpressLoan kuma baka biya ba. Idan baka biya ba zuwa karfe hudu, zamu fadawa kowa a gidanku cewa kai barawo ne.",1,Hausa,Loan Shark Threat
"Ekele! Nọmba gị emeriela NGN 250,000 na promo Dangote. Zite BVN gị na nọmba akaunti gị ngwa ngwa ka ị nweta ego gị.",1,Igbo,Fake Alert / Lottery
"E ku ori ire! Nọmba foonu rẹ ti jẹ NGN 100,000 ninu eto ijọba. Tẹ BVN rẹ ati nọmba akọọlẹ banki rẹ lati gba owo naa.",1,Yoruba,Fake Alert / Lottery
"Barka da asuba! Lambar wayarka ta ci NGN 150,000 a shirin agaji na musamman. Aiko da BVN dinka da lambar asusu don karbar kudinka.",1,Hausa,Fake Alert / Lottery
A ti sanwo ile iwe fun omo re. E dupe lowo Olorun. Oja tita ti wọle sinu akọọlẹ mi ni Palmpay.,0,Yoruba,Genuine Banking
"Alereti ebatala! Ego NGN 40,000 agafeela n'akaunti mi nke Stanbic IBTC. Chukwu gozie gị nwanna.",0,Igbo,Genuine Banking
"Ekele! Nọmba gị emeriela NGN 250,000 na promo Dangote. Zite BVN gị na nọmba akaunti gị ngwa ngwa ka ị nweta ego gị.",1,Igbo,Fake Alert / Lottery
Ego a zitere gị site na Moniepoint agafeela nke ọma. Ndeewo maka ịzụ ahịa. Anyị ga-ahụ ma emechaa.,0,Igbo,Genuine Banking
"Congratulations! Your mobile number has won NGN 500,000 in the CBN 2024 Empowerment Promo. Send your BVN and account details to claim your cash.",1,English,Fake Alert / Lottery
"Kai barawo ne! Ka ci bashin NGN 20,000 a XpressLoan kuma baka biya ba. Idan baka biya ba zuwa karfe hudu, zamu fadawa kowa a gidanku cewa kai barawo ne.",1,Hausa,Loan Shark Threat
No fall for scam o! Bank no go ever call you make you call out your OTP or ATM PIN. Open your eye my people.,0,Pidgin,Customer Support
Iro ni won pa! Iwe iroyin lati EFCC wipe a ti block account re ni Access Bank. Pe nọmba yii 08031234567 lati ṣii bayi ki owo re ma baa sọnu.,1,Yoruba,Phishing
"Naira dubu ashirin (NGN 20,000) ta shigo asusuna na UBA. Mun gode sosai, Allah ya mayar da alheri.",0,Hausa,Genuine Banking
"Alereti ebatala! Ego NGN 40,000 agafeela n'akaunti mi nke Opay. Chukwu gozie gị nwanna.",0,Igbo,Genuine Banking
Bros the alert don drop! 50k clear money inside my UBA account. God bless you plenty bro.,0,Pidgin,Genuine Banking
"Wetin be dis? You borrow 15k from QuickLoan app and you refuse to pay. If you no pay by 4pm today, we go publish your picture as thief to all your contacts.",1,Pidgin,Loan Shark Threat
"You have been listed as a guarantor for an unpaid loan on NairaCash. If the debtor does not pay by 3 PM, we will notify your employer and family that you are harboring a thief.",1,English,Loan Shark Threat
Ego a zitere gị site na Opay agafeela nke ọma. Ndeewo maka ịzụ ahịa. Anyị ga-ahụ ma emechaa.,0,Igbo,Genuine Banking
"Debit Alert: Acc: 014***2210 Amt: NGN 5,000.00 Desc: AIRTIME/MTN/08034445555 Bal: NGN 18,450.20",0,English,Genuine Banking
"Iwo olori buruku, o gba owo lowo EasyLoan o kọ lati san. Ti o ba sanwo di agogo meji, a maa firanṣẹ si gbogbo mọlẹbi rẹ wipe o jẹ ole.",1,Yoruba,Loan Shark Threat
Ego a zitere gị site na Moniepoint agafeela nke ọma. Ndeewo maka ịzụ ahịa. Anyị ga-ahụ ma emechaa.,0,Igbo,Genuine Banking
"Congratulations! Your mobile number has won NGN 500,000 in the CBN 2024 Empowerment Promo. Send your BVN and account details to claim your cash.",1,English,Fake Alert / Lottery
"An tura kudi NGN 50,000 zuwa asusunka na Jaiz Bank cikin nasara. Nagode da kasuwanci, Allah ya kara budi.",0,Hausa,Genuine Banking
Kada ka taba bayyana lambar sirri (OTP ko PIN) ga kowa. Bankinka ba zai taba tambayarka wannan ba. Ka kiyaye daga damfara.,0,Hausa,Customer Support
"Iwo olori buruku, o gba owo lowo EasyLoan o kọ lati san. Ti o ba sanwo di agogo meji, a maa firanṣẹ si gbogbo mọlẹbi rẹ wipe o jẹ ole.",1,Yoruba,Loan Shark Threat
Kada ka taba bayyana lambar sirri (OTP ko PIN) ga kowa. Bankinka ba zai taba tambayarka wannan ba. Ka kiyaye daga damfara.,0,Hausa,Customer Support
"Dear Customer, your Opay account has been restricted due to incomplete BVN update. Click http://gtb-update-ng.com to verify immediately.",1,English,Phishing
"Ekele! Nọmba gị emeriela NGN 250,000 na promo Dangote. Zite BVN gị na nọmba akaunti gị ngwa ngwa ka ị nweta ego gị.",1,Igbo,Fake Alert / Lottery
"We will never ask you for your PIN, OTP, or full ATM card number. Protect your banking credentials at all times. - GTBank Security",0,English,Customer Support
"Ekele! Nọmba gị emeriela NGN 250,000 na promo Dangote. Zite BVN gị na nọmba akaunti gị ngwa ngwa ka ị nweta ego gị.",1,Igbo,Fake Alert / Lottery
Iro ni won pa! Iwe iroyin lati EFCC wipe a ti block account re ni UBA. Pe nọmba yii 08031234567 lati ṣii bayi ki owo re ma baa sọnu.,1,Yoruba,Phishing
A ti sanwo ile iwe fun omo re. E dupe lowo Olorun. Oja tita ti wọle sinu akọọlẹ mi ni Palmpay.,0,Yoruba,Genuine Banking
URGENT: Your FCMB ATM card has been blocked. Please call customer care on 08012345678 or visit http://accessbank-update.info to unblock.,1,English,Phishing
"Dear Customer, your transfer of NGN 25,000.00 to account 012***4859 was successful. Thank you for choosing Wema Bank.",0,English,Genuine Banking
"Owo ti o firanṣẹ si akọọlẹ mi ti wọle o. Mo ti ri alert NGN 30,000 ni Wema Bank.",0,Yoruba,Genuine Banking
Kada ka taba bayyana lambar sirri (OTP ko PIN) ga kowa. Bankinka ba zai taba tambayarka wannan ba. Ka kiyaye daga damfara.,0,Hausa,Customer Support
No fall for scam o! Bank no go ever call you make you call out your OTP or ATM PIN. Open your eye my people.,0,Pidgin,Customer Support
"Barka da asuba! Lambar wayarka ta ci NGN 150,000 a shirin agaji na musamman. Aiko da BVN dinka da lambar asusu don karbar kudinka.",1,Hausa,Fake Alert / Lottery
"Kai barawo ne! Ka ci bashin NGN 20,000 a XpressLoan kuma baka biya ba. Idan baka biya ba zuwa karfe hudu, zamu fadawa kowa a gidanku cewa kai barawo ne.",1,Hausa,Loan Shark Threat
No fall for scam o! Bank no go ever call you make you call out your OTP or ATM PIN. Open your eye my people.,0,Pidgin,Customer Support
Omo your Zenith Bank account don enter hold balance because of BVN linkage. Make you click dis link http://opay-bvn-ng.xyz right now make dem no chop your money.,1,Pidgin,Phishing
"Credit Alert: Acc: 001***3948 Amt: NGN 150,000.00 Desc: Inflow from Akinsola Ngozi / Salary Bal: NGN 420,350.50",0,English,Genuine Banking
Bros the alert don drop! 50k clear money inside my Moniepoint account. God bless you plenty bro.,0,Pidgin,Genuine Banking
"E ku ori ire! Nọmba foonu rẹ ti jẹ NGN 100,000 ninu eto ijọba. Tẹ BVN rẹ ati nọmba akọọlẹ banki rẹ lati gba owo naa.",1,Yoruba,Fake Alert / Lottery
URGENT: Your Zenith Bank ATM card has been blocked. Please call customer care on 08012345678 or visit http://accessbank-update.info to unblock.,1,English,Phishing
Banki rẹ ko ni beere fun OTP tabi PIN rẹ lae. Ẹ jọwọ ẹ ṣọra fun awọn gbajue o.,0,Yoruba,Customer Support
A ti sanwo ile iwe fun omo re. E dupe lowo Olorun. Oja tita ti wọle sinu akọọlẹ mi ni GTBank.,0,Yoruba,Genuine Banking
Iro ni won pa! Iwe iroyin lati EFCC wipe a ti block account re ni UBA. Pe nọmba yii 08031234567 lati ṣii bayi ki owo re ma baa sọnu.,1,Yoruba,Phishing
"Owo ti o firanṣẹ si akọọlẹ mi ti wọle o. Mo ti ri alert NGN 30,000 ni Palmpay.",0,Yoruba,Genuine Banking
"We will never ask you for your PIN, OTP, or full ATM card number. Protect your banking credentials at all times. - Access Bank Security",0,English,Customer Support
Sanarwa: asusunka na GTBank ya shiga matsala saboda BVN ba a sabunta ba. Danna nan http://uba-update-service.xyz don gyarawa ko a rufe asusunka na dindindin.,1,Hausa,Phishing
Banki rẹ ko ni beere fun OTP tabi PIN rẹ lae. Ẹ jọwọ ẹ ṣọra fun awọn gbajue o.,0,Yoruba,Customer Support
"Debit Alert: Acc: 014***2210 Amt: NGN 5,000.00 Desc: AIRTIME/MTN/08034445555 Bal: NGN 18,450.20",0,English,Genuine Banking
"Iwo olori buruku, o gba owo lowo EasyLoan o kọ lati san. Ti o ba sanwo di agogo meji, a maa firanṣẹ si gbogbo mọlẹbi rẹ wipe o jẹ ole.",1,Yoruba,Loan Shark Threat
"Ekele! Nọmba gị emeriela NGN 250,000 na promo Dangote. Zite BVN gị na nọmba akaunti gị ngwa ngwa ka ị nweta ego gị.",1,Igbo,Fake Alert / Lottery
A ti sanwo ile iwe fun omo re. E dupe lowo Olorun. Oja tita ti wọle sinu akọọlẹ mi ni Zenith Bank.,0,Yoruba,Genuine Banking
"Barka da asuba! Lambar wayarka ta ci NGN 150,000 a shirin agaji na musamman. Aiko da BVN dinka da lambar asusu don karbar kudinka.",1,Hausa,Fake Alert / Lottery
"Credit Alert: Acc: 001***3948 Amt: NGN 150,000.00 Desc: Inflow from Akinsola Ngozi / Salary Bal: NGN 420,350.50",0,English,Genuine Banking
"E ku ori ire! Nọmba foonu rẹ ti jẹ NGN 100,000 ninu eto ijọba. Tẹ BVN rẹ ati nọmba akọọlẹ banki rẹ lati gba owo naa.",1,Yoruba,Fake Alert / Lottery
Kada ka taba bayyana lambar sirri (OTP ko PIN) ga kowa. Bankinka ba zai taba tambayarka wannan ba. Ka kiyaye daga damfara.,0,Hausa,Customer Support
URGENT: Your Moniepoint ATM card has been blocked. Please call customer care on 08012345678 or visit http://accessbank-update.info to unblock.,1,English,Phishing
"Congratulations! Your mobile number has won NGN 500,000 in the CBN 2024 Empowerment Promo. Send your BVN and account details to claim your cash.",1,English,Fake Alert / Lottery
Banki rẹ ko ni beere fun OTP tabi PIN rẹ lae. Ẹ jọwọ ẹ ṣọra fun awọn gbajue o.,0,Yoruba,Customer Support
A ti sanwo ile iwe fun omo re. E dupe lowo Olorun. Oja tita ti wọle sinu akọọlẹ mi ni Wema Bank.,0,Yoruba,Genuine Banking
Congrats my friend! You don win 200k from UBA anniversary promo. Just send your OTP make we credit your wallet straight up.,1,Pidgin,Fake Alert / Lottery
Omo your First Bank account don enter hold balance because of BVN linkage. Make you click dis link http://opay-bvn-ng.xyz right now make dem no chop your money.,1,Pidgin,Phishing
"We will never ask you for your PIN, OTP, or full ATM card number. Protect your banking credentials at all times. - Access Bank Security",0,English,Customer Support
Omo your Stanbic IBTC account don enter hold balance because of BVN linkage. Make you click dis link http://opay-bvn-ng.xyz right now make dem no chop your money.,1,Pidgin,Phishing
Biko ezigbela onye ọ bụla nọmba OTP ma ọ bụ PIN gị. Ndị banki agaghị ajụ gị ụdị ihe a. Kpachara anya gị.,0,Igbo,Customer Support
Kada ka taba bayyana lambar sirri (OTP ko PIN) ga kowa. Bankinka ba zai taba tambayarka wannan ba. Ka kiyaye daga damfara.,0,Hausa,Customer Support
Abeg I don send the urgent 2k to your Moniepoint account. Make you check am now now before network start to misbehave.,0,Pidgin,Genuine Banking
Iro ni won pa! Iwe iroyin lati EFCC wipe a ti block account re ni Access Bank. Pe nọmba yii 08031234567 lati ṣii bayi ki owo re ma baa sọnu.,1,Yoruba,Phishing
A ti sanwo ile iwe fun omo re. E dupe lowo Olorun. Oja tita ti wọle sinu akọọlẹ mi ni Zenith Bank.,0,Yoruba,Genuine Banking
"Dear Customer, your transfer of NGN 25,000.00 to account 012***4859 was successful. Thank you for choosing Zenith Bank.",0,English,Genuine Banking
Biko ezigbela onye ọ bụla nọmba OTP ma ọ bụ PIN gị. Ndị banki agaghị ajụ gị ụdị ihe a. Kpachara anya gị.,0,Igbo,Customer Support
"Dear Customer, your transfer of NGN 25,000.00 to account 012***4859 was successful. Thank you for choosing Wema Bank.",0,English,Genuine Banking
Abeg I don send the urgent 2k to your FCMB account. Make you check am now now before network start to misbehave.,0,Pidgin,Genuine Banking
A ti sanwo ile iwe fun omo re. E dupe lowo Olorun. Oja tita ti wọle sinu akọọlẹ mi ni Zenith Bank.,0,Yoruba,Genuine Banking
Banki rẹ ko ni beere fun OTP tabi PIN rẹ lae. Ẹ jọwọ ẹ ṣọra fun awọn gbajue o.,0,Yoruba,Customer Support
"Iwo olori buruku, o gba owo lowo EasyLoan o kọ lati san. Ti o ba sanwo di agogo meji, a maa firanṣẹ si gbogbo mọlẹbi rẹ wipe o jẹ ole.",1,Yoruba,Loan Shark Threat
Bros the alert don drop! 50k clear money inside my GTBank account. God bless you plenty bro.,0,Pidgin,Genuine Banking
Bros the alert don drop! 50k clear money inside my Access Bank account. God bless you plenty bro.,0,Pidgin,Genuine Banking
URGENT: Your Wema Bank ATM card has been blocked. Please call customer care on 08012345678 or visit http://accessbank-update.info to unblock.,1,English,Phishing
"Debit Alert: Acc: 014***2210 Amt: NGN 5,000.00 Desc: AIRTIME/MTN/08034445555 Bal: NGN 18,450.20",0,English,Genuine Banking
"Debit Alert: Acc: 014***2210 Amt: NGN 5,000.00 Desc: AIRTIME/MTN/08034445555 Bal: NGN 18,450.20",0,English,Genuine Banking
"E ku ori ire! Nọmba foonu rẹ ti jẹ NGN 100,000 ninu eto ijọba. Tẹ BVN rẹ ati nọmba akọọlẹ banki rẹ lati gba owo naa.",1,Yoruba,Fake Alert / Lottery
"Ndeewo, akaunti gị na FCMB enweela nsogbu n'ihi BVN agwụla. Pịa ebe a http://zenith-bvn-update.com ka ịmezie ya ngwa ngwa ma ọ bụ ha eji ego gị.",1,Igbo,Phishing
Iro ni won pa! Iwe iroyin lati EFCC wipe a ti block account re ni FCMB. Pe nọmba yii 08031234567 lati ṣii bayi ki owo re ma baa sọnu.,1,Yoruba,Phishing
"Barka da asuba! Lambar wayarka ta ci NGN 150,000 a shirin agaji na musamman. Aiko da BVN dinka da lambar asusu don karbar kudinka.",1,Hausa,Fake Alert / Lottery
"Congratulations! Your mobile number has won NGN 500,000 in the CBN 2024 Empowerment Promo. Send your BVN and account details to claim your cash.",1,English,Fake Alert / Lottery
"Credit Alert: Acc: 001***3948 Amt: NGN 150,000.00 Desc: Inflow from Akinsola Ngozi / Salary Bal: NGN 420,350.50",0,English,Genuine Banking
"Debit Alert: Acc: 014***2210 Amt: NGN 5,000.00 Desc: AIRTIME/MTN/08034445555 Bal: NGN 18,450.20",0,English,Genuine Banking
A ti sanwo ile iwe fun omo re. E dupe lowo Olorun. Oja tita ti wọle sinu akọọlẹ mi ni GTBank.,0,Yoruba,Genuine Banking
URGENT: Your GTBank ATM card has been blocked. Please call customer care on 08012345678 or visit http://accessbank-update.info to unblock.,1,English,Phishing
"Debit Alert: Acc: 014***2210 Amt: NGN 5,000.00 Desc: AIRTIME/MTN/08034445555 Bal: NGN 18,450.20",0,English,Genuine Banking
No fall for scam o! Bank no go ever call you make you call out your OTP or ATM PIN. Open your eye my people.,0,Pidgin,Customer Support
Abeg I don send the urgent 2k to your Palmpay account. Make you check am now now before network start to misbehave.,0,Pidgin,Genuine Banking
No fall for scam o! Bank no go ever call you make you call out your OTP or ATM PIN. Open your eye my people.,0,Pidgin,Customer Support
Iro ni won pa! Iwe iroyin lati EFCC wipe a ti block account re ni UBA. Pe nọmba yii 08031234567 lati ṣii bayi ki owo re ma baa sọnu.,1,Yoruba,Phishing
"You have been listed as a guarantor for an unpaid loan on NairaCash. If the debtor does not pay by 3 PM, we will notify your employer and family that you are harboring a thief.",1,English,Loan Shark Threat
"Dear Customer, your First Bank account has been restricted due to incomplete BVN update. Click http://gtb-update-ng.com to verify immediately.",1,English,Phishing
"Congratulations! Your mobile number has won NGN 500,000 in the CBN 2024 Empowerment Promo. Send your BVN and account details to claim your cash.",1,English,Fake Alert / Lottery
"An tura kudi NGN 50,000 zuwa asusunka na Jaiz Bank cikin nasara. Nagode da kasuwanci, Allah ya kara budi.",0,Hausa,Genuine Banking
Congrats my friend! You don win 200k from First Bank anniversary promo. Just send your OTP make we credit your wallet straight up.,1,Pidgin,Fake Alert / Lottery
"We will never ask you for your PIN, OTP, or full ATM card number. Protect your banking credentials at all times. - FCMB Security",0,English,Customer Support
"Ekele! Nọmba gị emeriela NGN 250,000 na promo Dangote. Zite BVN gị na nọmba akaunti gị ngwa ngwa ka ị nweta ego gị.",1,Igbo,Fake Alert / Lottery
"Alereti ebatala! Ego NGN 40,000 agafeela n'akaunti mi nke Palmpay. Chukwu gozie gị nwanna.",0,Igbo,Genuine Banking
Sanarwa: asusunka na UBA ya shiga matsala saboda BVN ba a sabunta ba. Danna nan http://uba-update-service.xyz don gyarawa ko a rufe asusunka na dindindin.,1,Hausa,Phishing
Bros the alert don drop! 50k clear money inside my FCMB account. God bless you plenty bro.,0,Pidgin,Genuine Banking
"E ku ori ire! Nọmba foonu rẹ ti jẹ NGN 100,000 ninu eto ijọba. Tẹ BVN rẹ ati nọmba akọọlẹ banki rẹ lati gba owo naa.",1,Yoruba,Fake Alert / Lottery
"Ekele! Nọmba gị emeriela NGN 250,000 na promo Dangote. Zite BVN gị na nọmba akaunti gị ngwa ngwa ka ị nweta ego gị.",1,Igbo,Fake Alert / Lottery
"I zuru ohi! I gbaziri ego na SpeedCash weghachighị ya. Ọ bụrụ na ị kwụghị ụgwọ tupu elekere atọ, anyị ga-egosi ndị ezi-na-ụlọ gị na ị bụ onye ohi.",1,Igbo,Loan Shark Threat
Bros the alert don drop! 50k clear money inside my Opay account. God bless you plenty bro.,0,Pidgin,Genuine Banking
"Congratulations! Your mobile number has won NGN 500,000 in the CBN 2024 Empowerment Promo. Send your BVN and account details to claim your cash.",1,English,Fake Alert / Lottery
"Dear Customer, your transfer of NGN 25,000.00 to account 012***4859 was successful. Thank you for choosing Zenith Bank.",0,English,Genuine Banking
Ego a zitere gị site na Stanbic IBTC agafeela nke ọma. Ndeewo maka ịzụ ahịa. Anyị ga-ahụ ma emechaa.,0,Igbo,Genuine Banking
"Kai barawo ne! Ka ci bashin NGN 20,000 a XpressLoan kuma baka biya ba. Idan baka biya ba zuwa karfe hudu, zamu fadawa kowa a gidanku cewa kai barawo ne.",1,Hausa,Loan Shark Threat
Banki rẹ ko ni beere fun OTP tabi PIN rẹ lae. Ẹ jọwọ ẹ ṣọra fun awọn gbajue o.,0,Yoruba,Customer Support
"Alereti ebatala! Ego NGN 40,000 agafeela n'akaunti mi nke UBA. Chukwu gozie gị nwanna.",0,Igbo,Genuine Banking
"Congratulations! Your mobile number has won NGN 500,000 in the CBN 2024 Empowerment Promo. Send your BVN and account details to claim your cash.",1,English,Fake Alert / Lottery
"Wetin be dis? You borrow 15k from QuickLoan app and you refuse to pay. If you no pay by 4pm today, we go publish your picture as thief to all your contacts.",1,Pidgin,Loan Shark Threat
"Wetin be dis? You borrow 15k from QuickLoan app and you refuse to pay. If you no pay by 4pm today, we go publish your picture as thief to all your contacts.",1,Pidgin,Loan Shark Threat
Banki rẹ ko ni beere fun OTP tabi PIN rẹ lae. Ẹ jọwọ ẹ ṣọra fun awọn gbajue o.,0,Yoruba,Customer Support
"Ndeewo, akaunti gị na Palmpay enweela nsogbu n'ihi BVN agwụla. Pịa ebe a http://zenith-bvn-update.com ka ịmezie ya ngwa ngwa ma ọ bụ ha eji ego gị.",1,Igbo,Phishing
Banki rẹ ko ni beere fun OTP tabi PIN rẹ lae. Ẹ jọwọ ẹ ṣọra fun awọn gbajue o.,0,Yoruba,Customer Support
"We will never ask you for your PIN, OTP, or full ATM card number. Protect your banking credentials at all times. - FCMB Security",0,English,Customer Support
Abeg I don send the urgent 2k to your First Bank account. Make you check am now now before network start to misbehave.,0,Pidgin,Genuine Banking
"We will never ask you for your PIN, OTP, or full ATM card number. Protect your banking credentials at all times. - GTBank Security",0,English,Customer Support
"Wetin be dis? You borrow 15k from QuickLoan app and you refuse to pay. If you no pay by 4pm today, we go publish your picture as thief to all your contacts.",1,Pidgin,Loan Shark Threat
Kada ka taba bayyana lambar sirri (OTP ko PIN) ga kowa. Bankinka ba zai taba tambayarka wannan ba. Ka kiyaye daga damfara.,0,Hausa,Customer Support
URGENT: Your Wema Bank ATM card has been blocked. Please call customer care on 08012345678 or visit http://accessbank-update.info to unblock.,1,English,Phishing
"Alereti ebatala! Ego NGN 40,000 agafeela n'akaunti mi nke Opay. Chukwu gozie gị nwanna.",0,Igbo,Genuine Banking
"Congratulations! Your mobile number has won NGN 500,000 in the CBN 2024 Empowerment Promo. Send your BVN and account details to claim your cash.",1,English,Fake Alert / Lottery
No fall for scam o! Bank no go ever call you make you call out your OTP or ATM PIN. Open your eye my people.,0,Pidgin,Customer Support
"I zuru ohi! I gbaziri ego na SpeedCash weghachighị ya. Ọ bụrụ na ị kwụghị ụgwọ tupu elekere atọ, anyị ga-egosi ndị ezi-na-ụlọ gị na ị bụ onye ohi.",1,Igbo,Loan Shark Threat
Abeg I don send the urgent 2k to your Opay account. Make you check am now now before network start to misbehave.,0,Pidgin,Genuine Banking
Congrats my friend! You don win 200k from GTBank anniversary promo. Just send your OTP make we credit your wallet straight up.,1,Pidgin,Fake Alert / Lottery
Omo your First Bank account don enter hold balance because of BVN linkage. Make you click dis link http://opay-bvn-ng.xyz right now make dem no chop your money.,1,Pidgin,Phishing
"Dear Customer, your transfer of NGN 25,000.00 to account 012***4859 was successful. Thank you for choosing Wema Bank.",0,English,Genuine Banking
"An tura kudi NGN 50,000 zuwa asusunka na Jaiz Bank cikin nasara. Nagode da kasuwanci, Allah ya kara budi.",0,Hausa,Genuine Banking
